insurance,mean,count,rate,dataset
Self_Pay,0.2927115069135224,4267,29.271150691352236,NHAMCS (Real US ED)
Other,0.2755775577557756,1212,27.557755775577558,NHAMCS (Real US ED)
Charity,0.2535885167464115,209,25.358851674641148,NHAMCS (Real US ED)
Unknown/Blank,0.25177874684415885,4357,25.177874684415887,NHAMCS (Real US ED)
Private,0.23538737248414668,14508,23.53873724841467,NHAMCS (Real US ED)
Medicaid/Public,0.23060491309835907,20598,23.060491309835907,NHAMCS (Real US ED)
Medicare,0.1906661009758167,11785,19.06661009758167,NHAMCS (Real US ED)
Unknown_Blank,0.18127962085308058,844,18.12796208530806,NHAMCS (Real US ED)
Workers_Comp,0.07848837209302326,344,7.848837209302325,NHAMCS (Real US ED)
